# claude — a handwritten pipeline-stress / coverage suite.
#
# This suite is for *testing the pp2lp pipeline*, not for staying green.  It
# deliberately spans the whole rule space (every PP family) and the whole
# proof-size span (one-rule leaves → 200+-rule proofs), AND it probes the known
# frontier: set-equality / equality-congruence, arithmetic antisymmetry and
# double-negation (AR4/AR7/AR8), INS over rewritten hyps, NAT membership, and
# existential/quantifier shapes REPLAY mishandles.  Authored by hand, grouped by
# what each section tests.
#
# INVARIANT: every goal is a genuine theorem submitted to PP as the BARE goal —
# no hypotheses, no goal-as-hypothesis self-promotion.  PP proves it outright,
# closing the goal's free variables universally and inferring their types from
# context.  A goal PP cannot prove produces no .trace and is rejected at gen time
# (see the guardrail in gen_traces), so it does not belong here.  (Mind PP's
# parser: `<=>` binds tighter than `&`, and `=>` is left-associative —
# parenthesise accordingly, e.g. `(a & b) <=> (b & a)`, `x<=y => (y<=x => x=y)`.)
#
# Format: name | kind | goal
#   prop  — bare identifiers are propositional variables
#   expr  — bare identifiers are expression variables (sets / functions / ints)
#
# `goals.txt` is the source of truth — regenerate with `pp2lp gen claude`,
# check with `pp2lp run claude`.  Coverage notes (→ RULE) are intended targets;
# measure actual firings from the generated `.replay` files.  Some goals are
# theorems pp2lp cannot yet *translate* (Farkas, AR4/AR7/AR8, …); those fail at
# the lambdapi-check stage, not at PP — a signal about the pipeline frontier.

# ════════════════════════════════════════════════════════════════════════
# A. Propositional connectives — AND / OR / NOT, tiny → medium  (AND*, OR*, NOT*)
# ════════════════════════════════════════════════════════════════════════

# leaves (1–3 rules)

# identity / idempotence
p_imp_self        | prop | a => a
gx_eqv22                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22)) => (a1 <=> a22)
gx_eqv23                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22) & (a22 <=> a23)) => (a1 <=> a23)
gx_eqv24                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22) & (a22 <=> a23) & (a23 <=> a24)) => (a1 <=> a24)
gx_eqv25                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22) & (a22 <=> a23) & (a23 <=> a24) & (a24 <=> a25)) => (a1 <=> a25)
gx_eqv26                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22) & (a22 <=> a23) & (a23 <=> a24) & (a24 <=> a25) & (a25 <=> a26)) => (a1 <=> a26)
gx_eqv27                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22) & (a22 <=> a23) & (a23 <=> a24) & (a24 <=> a25) & (a25 <=> a26) & (a26 <=> a27)) => (a1 <=> a27)
gx_eqv28                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22) & (a22 <=> a23) & (a23 <=> a24) & (a24 <=> a25) & (a25 <=> a26) & (a26 <=> a27) & (a27 <=> a28)) => (a1 <=> a28)
gx_eqv29                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22) & (a22 <=> a23) & (a23 <=> a24) & (a24 <=> a25) & (a25 <=> a26) & (a26 <=> a27) & (a27 <=> a28) & (a28 <=> a29)) => (a1 <=> a29)
gx_eqv30                   | prop | ((a1 <=> a2) & (a2 <=> a3) & (a3 <=> a4) & (a4 <=> a5) & (a5 <=> a6) & (a6 <=> a7) & (a7 <=> a8) & (a8 <=> a9) & (a9 <=> a10) & (a10 <=> a11) & (a11 <=> a12) & (a12 <=> a13) & (a13 <=> a14) & (a14 <=> a15) & (a15 <=> a16) & (a16 <=> a17) & (a17 <=> a18) & (a18 <=> a19) & (a19 <=> a20) & (a20 <=> a21) & (a21 <=> a22) & (a22 <=> a23) & (a23 <=> a24) & (a24 <=> a25) & (a25 <=> a26) & (a26 <=> a27) & (a27 <=> a28) & (a28 <=> a29) & (a29 <=> a30)) => (a1 <=> a30)
gx_disjin3_first           | prop | a1 => (a1 or a2 or a3)
gx_disjin3_last            | prop | a3 => (a1 or a2 or a3)
gx_disjin4_first           | prop | a1 => (a1 or a2 or a3 or a4)
gx_disjin4_last            | prop | a4 => (a1 or a2 or a3 or a4)
gx_disjin5_first           | prop | a1 => (a1 or a2 or a3 or a4 or a5)
gx_disjin5_last            | prop | a5 => (a1 or a2 or a3 or a4 or a5)
gx_disjin6_first           | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6)
gx_disjin6_last            | prop | a6 => (a1 or a2 or a3 or a4 or a5 or a6)
gx_disjin7_first           | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7)
gx_disjin7_last            | prop | a7 => (a1 or a2 or a3 or a4 or a5 or a6 or a7)
gx_disjin8_first           | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8)
gx_disjin8_last            | prop | a8 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8)
gx_disjin9_first           | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9)
gx_disjin9_last            | prop | a9 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9)
gx_disjin10_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10)
gx_disjin10_last           | prop | a10 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10)
gx_disjin11_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11)
gx_disjin11_last           | prop | a11 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11)
gx_disjin12_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12)
gx_disjin12_last           | prop | a12 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12)
gx_disjin13_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13)
gx_disjin13_last           | prop | a13 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13)
gx_disjin14_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14)
gx_disjin14_last           | prop | a14 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14)
gx_disjin15_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15)
gx_disjin15_last           | prop | a15 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15)
gx_disjin16_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16)
gx_disjin16_last           | prop | a16 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16)
gx_disjin17_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17)
gx_disjin17_last           | prop | a17 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17)
gx_disjin18_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18)
gx_disjin18_last           | prop | a18 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18)
gx_disjin19_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19)
gx_disjin19_last           | prop | a19 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19)
gx_disjin20_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20)
gx_disjin20_last           | prop | a20 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20)
gx_disjin21_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20 or a21)
gx_disjin21_last           | prop | a21 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20 or a21)
gx_disjin22_first          | prop | a1 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20 or a21 or a22)
gx_disjin22_last           | prop | a22 => (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20 or a21 or a22)
gx_cases3                  | prop | (a1 => c) & (a2 => c) & (a3 => c) => ((a1 or a2 or a3) => c)
gx_cases4                  | prop | (a1 => c) & (a2 => c) & (a3 => c) & (a4 => c) => ((a1 or a2 or a3 or a4) => c)
gx_cases5                  | prop | (a1 => c) & (a2 => c) & (a3 => c) & (a4 => c) & (a5 => c) => ((a1 or a2 or a3 or a4 or a5) => c)
gx_cases6                  | prop | (a1 => c) & (a2 => c) & (a3 => c) & (a4 => c) & (a5 => c) & (a6 => c) => ((a1 or a2 or a3 or a4 or a5 or a6) => c)
gx_cases7                  | prop | (a1 => c) & (a2 => c) & (a3 => c) & (a4 => c) & (a5 => c) & (a6 => c) & (a7 => c) => ((a1 or a2 or a3 or a4 or a5 or a6 or a7) => c)
gx_cases8                  | prop | (a1 => c) & (a2 => c) & (a3 => c) & (a4 => c) & (a5 => c) & (a6 => c) & (a7 => c) & (a8 => c) => ((a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8) => c)
gx_resol2                  | prop | (a1 or a2) & not(a1) => a2
gx_resol3                  | prop | (a1 or a2 or a3) & not(a1) & not(a2) => a3
gx_resol4                  | prop | (a1 or a2 or a3 or a4) & not(a1) & not(a2) & not(a3) => a4
gx_resol5                  | prop | (a1 or a2 or a3 or a4 or a5) & not(a1) & not(a2) & not(a3) & not(a4) => a5
gx_resol6                  | prop | (a1 or a2 or a3 or a4 or a5 or a6) & not(a1) & not(a2) & not(a3) & not(a4) & not(a5) => a6
gx_resol7                  | prop | (a1 or a2 or a3 or a4 or a5 or a6 or a7) & not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) => a7
gx_resol8                  | prop | (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8) & not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) => a8
gx_resol9                  | prop | (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9) & not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) => a9
gx_resol10                 | prop | (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10) & not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) => a10
gx_resol11                 | prop | (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11) & not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) => a11
gx_resol12                 | prop | (a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12) & not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) => a12
gx_demand3                 | prop | (not(a1 & a2 & a3)) <=> (not(a1) or not(a2) or not(a3))
gx_demor3                  | prop | (not(a1 or a2 or a3)) <=> (not(a1) & not(a2) & not(a3))
gx_demand4                 | prop | (not(a1 & a2 & a3 & a4)) <=> (not(a1) or not(a2) or not(a3) or not(a4))
gx_demor4                  | prop | (not(a1 or a2 or a3 or a4)) <=> (not(a1) & not(a2) & not(a3) & not(a4))
gx_demand5                 | prop | (not(a1 & a2 & a3 & a4 & a5)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5))
gx_demor5                  | prop | (not(a1 or a2 or a3 or a4 or a5)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5))
gx_demand6                 | prop | (not(a1 & a2 & a3 & a4 & a5 & a6)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6))
gx_demor6                  | prop | (not(a1 or a2 or a3 or a4 or a5 or a6)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6))
gx_demand7                 | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7))
gx_demor7                  | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7))
gx_demand8                 | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8))
gx_demor8                  | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8))
gx_demand9                 | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9))
gx_demor9                  | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9))
gx_demand10                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10))
gx_demor10                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10))
gx_demand11                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11))
gx_demor11                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11))
gx_demand12                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12))
gx_demor12                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12))
gx_demand13                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13))
gx_demor13                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13))
gx_demand14                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14))
gx_demor14                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14))
gx_demand15                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14 & a15)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14) or not(a15))
gx_demor15                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14) & not(a15))
gx_demand16                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14 & a15 & a16)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14) or not(a15) or not(a16))
gx_demor16                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14) & not(a15) & not(a16))
gx_demand17                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14 & a15 & a16 & a17)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14) or not(a15) or not(a16) or not(a17))
gx_demor17                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14) & not(a15) & not(a16) & not(a17))
gx_demand18                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14 & a15 & a16 & a17 & a18)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14) or not(a15) or not(a16) or not(a17) or not(a18))
gx_demor18                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14) & not(a15) & not(a16) & not(a17) & not(a18))
gx_demand19                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14 & a15 & a16 & a17 & a18 & a19)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14) or not(a15) or not(a16) or not(a17) or not(a18) or not(a19))
gx_demor19                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14) & not(a15) & not(a16) & not(a17) & not(a18) & not(a19))
gx_demand20                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14 & a15 & a16 & a17 & a18 & a19 & a20)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14) or not(a15) or not(a16) or not(a17) or not(a18) or not(a19) or not(a20))
gx_demor20                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14) & not(a15) & not(a16) & not(a17) & not(a18) & not(a19) & not(a20))
gx_demand21                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14 & a15 & a16 & a17 & a18 & a19 & a20 & a21)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14) or not(a15) or not(a16) or not(a17) or not(a18) or not(a19) or not(a20) or not(a21))
gx_demor21                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20 or a21)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14) & not(a15) & not(a16) & not(a17) & not(a18) & not(a19) & not(a20) & not(a21))
gx_demand22                | prop | (not(a1 & a2 & a3 & a4 & a5 & a6 & a7 & a8 & a9 & a10 & a11 & a12 & a13 & a14 & a15 & a16 & a17 & a18 & a19 & a20 & a21 & a22)) <=> (not(a1) or not(a2) or not(a3) or not(a4) or not(a5) or not(a6) or not(a7) or not(a8) or not(a9) or not(a10) or not(a11) or not(a12) or not(a13) or not(a14) or not(a15) or not(a16) or not(a17) or not(a18) or not(a19) or not(a20) or not(a21) or not(a22))
gx_demor22                 | prop | (not(a1 or a2 or a3 or a4 or a5 or a6 or a7 or a8 or a9 or a10 or a11 or a12 or a13 or a14 or a15 or a16 or a17 or a18 or a19 or a20 or a21 or a22)) <=> (not(a1) & not(a2) & not(a3) & not(a4) & not(a5) & not(a6) & not(a7) & not(a8) & not(a9) & not(a10) & not(a11) & not(a12) & not(a13) & not(a14) & not(a15) & not(a16) & not(a17) & not(a18) & not(a19) & not(a20) & not(a21) & not(a22))
gx_negtwr2                 | prop | not(not(a)) => a
gx_negtwr3                 | prop | not(not(not(a))) => not(a)
gx_negtwr4                 | prop | not(not(not(not(a)))) => a
gx_negtwr5                 | prop | not(not(not(not(not(a))))) => not(a)
gx_negtwr6                 | prop | not(not(not(not(not(not(a)))))) => a
gx_negtwr7                 | prop | not(not(not(not(not(not(not(a))))))) => not(a)
gx_negtwr8                 | prop | not(not(not(not(not(not(not(not(a)))))))) => a
gx_negtwr9                 | prop | not(not(not(not(not(not(not(not(not(a))))))))) => not(a)
gx_negtwr10                | prop | not(not(not(not(not(not(not(not(not(not(a)))))))))) => a
gx_negtwr11                | prop | not(not(not(not(not(not(not(not(not(not(not(a))))))))))) => not(a)
gx_negtwr12                | prop | not(not(not(not(not(not(not(not(not(not(not(not(a)))))))))))) => a
gx_negtwr13                | prop | not(not(not(not(not(not(not(not(not(not(not(not(not(a))))))))))))) => not(a)
gx_negtwr14                | prop | not(not(not(not(not(not(not(not(not(not(not(not(not(not(a)))))))))))))) => a
gx_negtwr15                | prop | not(not(not(not(not(not(not(not(not(not(not(not(not(not(not(a))))))))))))))) => not(a)
